source,ref_annonce,date_scraped,type_bien,transaction,ville,prix,devise,prix_m2,surface_m2,nb_pieces,nb_chambres,nb_sdb,etage,etat,ascenseur,piscine,parking,agence,vendeur_type,date_publication,titre,url
almanzil.ma,appartement-a-vendre,2026-06-03 02:43,Appartement,vente,Maroc,Contact,MAD,,,,,,,,,,,Almanzil,professionnel,,Annonce Almanzil #19,https://almanzil.ma/property/appartement-a-vendre/
almanzil.ma,sidi-bouzid-appt-a-vendre-878m2-el-jadida-residence-ferme-vue-piscine,2026-06-03 02:43,Villa,vente,Maroc,Contact,MAD,,,,,,,,,,,Almanzil,professionnel,,Annonce Almanzil #20,https://almanzil.ma/property/sidi-bouzid-appt-a-vendre-878m2-el-jadida-residence-ferme-vue-piscine/
almanzil.ma,appartement-moderne-a-casablanca,2026-06-03 02:43,Appartement,vente,Maroc,Contact,MAD,,,,,,,,,,,Almanzil,professionnel,,Annonce Almanzil #21,https://almanzil.ma/property/appartement-moderne-a-casablanca/
almanzil.ma,villa-champs-de-course-fes,2026-06-03 02:43,Villa,vente,Maroc,Contact,MAD,,,,,,,,,,,Almanzil,professionnel,,Annonce Almanzil #22,https://almanzil.ma/property/villa-champs-de-course-fes/
almanzil.ma,terrain-a-vendre,2026-06-03 02:43,Villa,vente,Maroc,Contact,MAD,,,,,,,,,,,Almanzil,professionnel,,Annonce Almanzil #23,https://almanzil.ma/property/terrain-a-vendre/
almanzil.ma,%d9%81%d9%8a%d9%84%d8%a7-%d9%84%d9%84%d8%a8%d9%8a%d8%b9-%d8%a8%d8%ad%d9%8a-%d8%a7%d9%84%d8%b3%d9%84%d8%a7%d9%85-%d8%a8%d8%a7%d9%84%d9%85%d8%af%d9%8a%d9%86%d8%a9-%d8%b3%d9%84%d8%a7,2026-06-03 02:43,Villa,vente,Maroc,Contact,MAD,,,,,,,,,,,Almanzil,professionnel,,Annonce Almanzil #24,https://almanzil.ma/property/%d9%81%d9%8a%d9%84%d8%a7-%d9%84%d9%84%d8%a8%d9%8a%d8%b9-%d8%a8%d8%ad%d9%8a-%d8%a7%d9%84%d8%b3%d9%84%d8%a7%d9%85-%d8%a8%d8%a7%d9%84%d9%85%d8%af%d9%8a%d9%86%d8%a9-%d8%b3%d9%84%d8%a7/
almanzil.ma,villa-a-vendre-de-850m2-bouskoura,2026-06-03 02:43,Villa,vente,Maroc,Contact,MAD,,,,,,,,,,,Almanzil,professionnel,,Annonce Almanzil #25,https://almanzil.ma/property/villa-a-vendre-de-850m2-bouskoura/
almanzil.ma,a-vendre-villa-lumineuse-de-356m2-cote-bovilage-bouskoura,2026-06-03 02:43,Villa,vente,Maroc,Contact,MAD,,,,,,,,,,,Almanzil,professionnel,,Annonce Almanzil #26,https://almanzil.ma/property/a-vendre-villa-lumineuse-de-356m2-cote-bovilage-bouskoura/
almanzil.ma,a-vendre-villa-moderne-de-427m2-residence-ferme-et-securisee,2026-06-03 02:43,Villa,vente,Maroc,Contact,MAD,,,,,,,,,,,Almanzil,professionnel,,Annonce Almanzil #27,https://almanzil.ma/property/a-vendre-villa-moderne-de-427m2-residence-ferme-et-securisee/
almanzil.ma,bachkou-a-vendre-magasin-68323rideaux-2,2026-06-03 02:43,Villa,vente,Maroc,Contact,MAD,,,,,,,,,,,Almanzil,professionnel,,Annonce Almanzil #28,https://almanzil.ma/property/bachkou-a-vendre-magasin-68323rideaux-2/
almanzil.ma,a-vendre-villa-de-maitre-de-496m2-bouskoura,2026-06-03 02:43,Villa,vente,Maroc,Contact,MAD,,,,,,,,,,,Almanzil,professionnel,,Annonce Almanzil #29,https://almanzil.ma/property/a-vendre-villa-de-maitre-de-496m2-bouskoura/
almanzil.ma,bachkou-a-vendre-magasin-68323rideaux,2026-06-03 02:43,Villa,vente,Maroc,Contact,MAD,,,,,,,,,,,Almanzil,professionnel,,Annonce Almanzil #30,https://almanzil.ma/property/bachkou-a-vendre-magasin-68323rideaux/
almanzil.ma,appartement-a-2-mars,2026-06-03 02:44,Appartement,vente,Maroc,Contact,MAD,,,,,,,,,,,Almanzil,professionnel,,Annonce Almanzil #31,https://almanzil.ma/property/appartement-a-2-mars/
almanzil.ma,villa-isolee-de-1125m2-new-a-vendre-ville-verte,2026-06-03 02:44,Villa,vente,Maroc,Contact,MAD,,,,,,,,,,,Almanzil,professionnel,,Annonce Almanzil #32,https://almanzil.ma/property/villa-isolee-de-1125m2-new-a-vendre-ville-verte/
almanzil.ma,penthouse-dexception-avec-double-terrasse-privative-229-m%c2%b2-le-cedre-zenata,2026-06-03 02:44,Villa,vente,Maroc,Contact,MAD,,,,,,,,,,,Almanzil,professionnel,,Annonce Almanzil #33,https://almanzil.ma/property/penthouse-dexception-avec-double-terrasse-privative-229-m%c2%b2-le-cedre-zenata/
almanzil.ma,a-vendre-villa-de-1768m2-situe-a-bouskoura-casa-green-tawn-cgi,2026-06-03 02:44,Villa,vente,Maroc,Contact,MAD,,,,,,,,,,,Almanzil,professionnel,,Annonce Almanzil #34,https://almanzil.ma/property/a-vendre-villa-de-1768m2-situe-a-bouskoura-casa-green-tawn-cgi/
almanzil.ma,bureau-neuf-47m%c2%b2-a-vendre-a-zenata,2026-06-03 02:44,Villa,vente,Maroc,Contact,MAD,,,,,,,,,,,Almanzil,professionnel,,Annonce Almanzil #35,https://almanzil.ma/property/bureau-neuf-47m%c2%b2-a-vendre-a-zenata/
almanzil.ma,appartement-haut-standing-avec-terrasse-privative-117-m%c2%b2-eco-cite-zenata,2026-06-03 02:44,Appartement,vente,Maroc,Contact,MAD,,,,,,,,,,,Almanzil,professionnel,,Annonce Almanzil #36,https://almanzil.ma/property/appartement-haut-standing-avec-terrasse-privative-117-m%c2%b2-eco-cite-zenata/
almanzil.ma,bureau-neuf-56m%c2%b2-a-vendre-a-zenata,2026-06-03 02:44,Villa,vente,Maroc,Contact,MAD,,,,,,,,,,,Almanzil,professionnel,,Annonce Almanzil #37,https://almanzil.ma/property/bureau-neuf-56m%c2%b2-a-vendre-a-zenata/
almanzil.ma,appartement-a-hay-mohammedi-casa-social,2026-06-03 02:44,Appartement,vente,Maroc,Contact,MAD,,,,,,,,,,,Almanzil,professionnel,,Annonce Almanzil #38,https://almanzil.ma/property/appartement-a-hay-mohammedi-casa-social/
almanzil.ma,appartement-2-chambres-avec-terrasse-a-vendre-a-eco-cite-zenata,2026-06-03 02:44,Appartement,vente,Maroc,Contact,MAD,,,,,,,,,,,Almanzil,professionnel,,Annonce Almanzil #39,https://almanzil.ma/property/appartement-2-chambres-avec-terrasse-a-vendre-a-eco-cite-zenata/
almanzil.ma,bureau-neuf-56m%c2%b2-avec-cour-36m%c2%b2-a-zenata,2026-06-03 02:44,Villa,vente,Maroc,Contact,MAD,,,,,,,,,,,Almanzil,professionnel,,Annonce Almanzil #40,https://almanzil.ma/property/bureau-neuf-56m%c2%b2-avec-cour-36m%c2%b2-a-zenata/
almanzil.ma,studio-neuf-avec-terrasse-a-vendre-a-eco-cite-zenata,2026-06-03 02:44,Villa,vente,Maroc,Contact,MAD,,,,,,,,,,,Almanzil,professionnel,,Annonce Almanzil #41,https://almanzil.ma/property/studio-neuf-avec-terrasse-a-vendre-a-eco-cite-zenata/
